Backend_Time,ESP_Time,experimentName,comment,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-07 08:54:57,06:54:57,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:54:57,06:54:57,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.08,4.38,0.0,-1.0
2024-06-07 08:54:57,06:54:57,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.6,4.38,0.0,-1.0
2024-06-07 08:54:57,06:54:57,None,,,0,0,0,0,0,0,0,23.74,-1000.0,12.04,4.38,0.0,-1.0
2024-06-07 08:54:58,06:54:57,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.94,4.38,0.0,0.0
2024-06-07 08:54:58,06:54:58,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.82,4.38,0.0,-1.0
2024-06-07 08:54:58,06:54:58,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.71,4.38,0.0,-1.0
2024-06-07 08:54:58,06:54:58,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.02,4.38,0.0,-1.0
2024-06-07 08:54:58,06:54:58,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:54:59,06:54:58,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.24,4.37,0.0,0.0
2024-06-07 08:54:59,06:54:59,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.3,4.38,0.0,-1.0
2024-06-07 08:54:59,06:54:59,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.21,4.38,0.0,-1.0
2024-06-07 08:54:59,06:54:59,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.02,4.38,0.0,-1.0
2024-06-07 08:54:59,06:54:59,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.71,4.38,0.0,-1.0
2024-06-07 08:55:00,06:54:59,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.93,4.38,0.0,0.0
2024-06-07 08:55:00,06:55:00,None,,,0,0,0,0,0,0,0,23.74,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:00,06:55:00,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.1,4.38,0.0,-1.0
2024-06-07 08:55:00,06:55:00,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.57,4.38,0.0,-1.0
2024-06-07 08:55:01,06:55:00,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.08,4.38,0.0,-1.0
2024-06-07 08:55:01,06:55:00,None,,,0,0,0,0,0,0,0,23.81,-1000.0,12.21,4.38,0.0,0.0
2024-06-07 08:55:01,06:55:01,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.16,4.38,0.0,-1.0
2024-06-07 08:55:01,06:55:01,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.41,4.38,0.0,-1.0
2024-06-07 08:55:01,06:55:01,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.15,4.38,0.0,-1.0
2024-06-07 08:55:02,06:55:01,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.97,4.38,0.0,-1.0
2024-06-07 08:55:02,06:55:02,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.79,4.38,0.0,0.0
2024-06-07 08:55:02,06:55:02,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.88,4.38,0.0,-1.0
2024-06-07 08:55:02,06:55:02,None,,,0,0,0,0,0,0,0,23.81,-1000.0,10.94,4.38,0.0,-1.0
2024-06-07 08:55:02,06:55:02,None,,,0,0,0,0,0,0,0,23.87,-1000.0,12.12,4.38,0.0,-1.0
2024-06-07 08:55:03,06:55:02,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.46,4.39,0.0,-1.0
2024-06-07 08:55:03,06:55:03,None,,,0,0,0,0,0,0,0,23.81,-1000.0,11.19,4.38,0.0,0.0
2024-06-07 08:55:03,06:55:03,None,,,0,0,0,0,0,0,0,23.7,-1000.0,12.23,4.38,0.0,-1.0
2024-06-07 08:55:03,06:55:03,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.13,4.39,0.0,-1.0
2024-06-07 08:55:03,06:55:03,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.54,4.38,0.0,-1.0
2024-06-07 08:55:04,06:55:03,None,,,0,0,0,0,0,0,0,23.77,-1000.0,12.07,4.38,0.0,-1.0
2024-06-07 08:55:04,06:55:04,None,,,0,0,0,0,0,0,0,23.77,-1000.0,10.94,4.38,0.0,0.0
2024-06-07 08:55:04,06:55:04,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.93,4.38,0.0,-1.0
2024-06-07 08:55:04,06:55:04,None,,,0,0,0,0,0,0,0,23.74,-1000.0,11.74,4.38,0.0,-1.0
2024-06-07 08:55:04,06:55:04,None,,,0,0,0,0,0,0,0,23.77,-1000.0,11.02,4.38,0.0,-1.0
2024-06-07 08:55:05,06:55:04,None,,,0,0,0,0,0,0,0,23.84,-1000.0,12.21,4.38,0.0,-1.0
