Backend_Time,ESP_Time,event,programType,rateOrSpeed,duration,tempSetpoint,phSetpoint,doSetpoint,nutrientConc,baseConc,experimentName,comment,currentProgram,programStatus,airPumpStatus,drainPumpStatus,nutrientPumpStatus,basePumpStatus,stirringMotorStatus,heatingPlateStatus,ledGrowLightStatus,waterTemp,airTemp,ph,turbidity,oxygen,airFlow
2024-06-27 11:18:46,00:53:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.48994,1.12793,0,0
2024-06-27 11:19:16,00:54:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.57248,1.123047,0,0
2024-06-27 11:19:46,00:54:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.24234,1.123047,0,0
2024-06-27 11:20:16,00:55:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.8476,1.12793,0,0
2024-06-27 11:20:46,00:55:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.71004,1.137695,0,0
2024-06-27 11:21:16,00:56:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.21482,1.123047,0,0
2024-06-27 11:21:46,00:56:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.21482,1.123047,0,0
2024-06-27 11:22:16,00:57:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.82009,1.137695,0,0
2024-06-27 11:22:46,00:57:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.21482,1.123047,0,0
2024-06-27 11:23:16,00:58:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.65501,1.123047,0,0
2024-06-27 11:23:46,00:58:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,12.06769,1.123047,0,0
2024-06-27 11:24:16,00:59:07,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,12.06769,1.123047,0,0
2024-06-27 11:24:46,00:59:37,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.73755,1.123047,0,0
2024-06-27 11:25:16,01:00:06,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.24234,1.113281,0,0
2024-06-27 11:25:46,01:00:36,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.26985,1.123047,0,0
2024-06-27 11:26:16,01:01:06,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.46243,1.118164,0,0
2024-06-27 11:26:46,01:01:36,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.93013,1.118164,0,0
2024-06-27 11:27:16,01:02:06,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.71004,1.113281,0,0
2024-06-27 11:27:46,01:02:36,data,None,0,0,0,0,0,0,0,,,None,Idle,0,0,0,0,0,0,0,-242.02,-1000,11.82009,1.118164,0,0
